,f1-score,precision,recall,support,kappa
FEET,0.696,0.886,0.574,68.0,0.7801184872295108
LEFT_HAND,0.899,0.935,0.866,67.0,0.7801184872295108
RIGHT_HAND,0.919,0.872,0.971,70.0,0.7801184872295108
TONGUE,0.803,0.708,0.926,68.0,0.7801184872295108
avg/total,0.829,0.85,0.834,273.0,0.78
