,f1-score,precision,recall,support,kappa
FEET,0.593,0.73,0.5,54.0,0.44183229007413394
LEFT_HAND,0.509,0.491,0.528,53.0,0.44183229007413394
RIGHT_HAND,0.576,0.54,0.618,55.0,0.44183229007413394
TONGUE,0.649,0.621,0.679,53.0,0.44183229007413394
avg/total,0.582,0.596,0.581,215.0,0.442
