,f1-score,precision,recall,support,kappa
FEET,0.737,0.764,0.712,59.0,0.5855818954482617
LEFT_HAND,0.552,0.857,0.407,59.0,0.5855818954482617
RIGHT_HAND,0.69,0.576,0.86,57.0,0.5855818954482617
TONGUE,0.743,0.7,0.792,53.0,0.5855818954482617
avg/total,0.68,0.724,0.693,228.0,0.586
