,f1-score,precision,recall,support,kappa
FEET,0.797,0.815,0.779,68.0,0.7947184674603885
LEFT_HAND,0.88,0.948,0.821,67.0,0.7947184674603885
RIGHT_HAND,0.896,0.821,0.986,70.0,0.7947184674603885
TONGUE,0.806,0.818,0.794,68.0,0.7947184674603885
avg/total,0.845,0.85,0.845,273.0,0.795
