,f1-score,precision,recall,support,kappa
FEET,0.791,0.786,0.797,69.0,0.7637786696206439
LEFT_HAND,0.875,0.903,0.848,66.0,0.7637786696206439
RIGHT_HAND,0.824,0.762,0.897,68.0,0.7637786696206439
TONGUE,0.803,0.864,0.75,68.0,0.7637786696206439
avg/total,0.823,0.829,0.823,271.0,0.764
