,f1-score,precision,recall,support,kappa
FEET,0.849,0.805,0.899,69.0,0.8386720926698299
LEFT_HAND,0.914,0.862,0.972,71.0,0.8386720926698299
RIGHT_HAND,0.882,0.982,0.8,70.0,0.8386720926698299
TONGUE,0.87,0.896,0.845,71.0,0.8386720926698299
avg/total,0.879,0.886,0.879,281.0,0.839
