,f1-score,precision,recall,support,kappa
FEET,0.148,0.667,0.083,72.0,0.5051180279924796
LEFT_HAND,0.727,0.712,0.743,70.0,0.5051180279924796
RIGHT_HAND,0.75,0.612,0.969,65.0,0.5051180279924796
TONGUE,0.65,0.571,0.754,69.0,0.5051180279924796
avg/total,0.569,0.641,0.637,276.0,0.505
