,f1-score,precision,recall,support,kappa
FEET,0.68,0.619,0.754,69.0,0.6611494252873564
LEFT_HAND,0.882,0.903,0.862,65.0,0.6611494252873564
RIGHT_HAND,0.605,0.667,0.554,65.0,0.6611494252873564
TONGUE,0.822,0.828,0.815,65.0,0.6611494252873564
avg/total,0.747,0.754,0.746,264.0,0.661
