,f1-score,precision,recall,support,kappa
FEET,0.733,0.881,0.627,59.0,0.6203893442622951
LEFT_HAND,0.696,0.714,0.678,59.0,0.6203893442622951
RIGHT_HAND,0.688,0.632,0.754,57.0,0.6203893442622951
TONGUE,0.748,0.694,0.811,53.0,0.6203893442622951
avg/total,0.716,0.73,0.718,228.0,0.62
