,f1-score,precision,recall,support,kappa
FEET,0.828,0.93,0.746,71.0,0.7838826568649548
LEFT_HAND,0.817,1.0,0.69,71.0,0.7838826568649548
RIGHT_HAND,0.899,0.838,0.971,69.0,0.7838826568649548
TONGUE,0.803,0.692,0.955,66.0,0.7838826568649548
avg/total,0.837,0.865,0.84,277.0,0.784
