,f1-score,precision,recall,support,kappa
FEET,0.859,0.8,0.928,69.0,0.8482183549111287
LEFT_HAND,0.904,0.953,0.859,71.0,0.8482183549111287
RIGHT_HAND,0.937,0.918,0.957,70.0,0.8482183549111287
TONGUE,0.844,0.891,0.803,71.0,0.8482183549111287
avg/total,0.886,0.891,0.887,281.0,0.848
