,f1-score,precision,recall,support,kappa
FEET,0.632,0.578,0.696,69.0,0.3172667376547318
LEFT_HAND,0.461,0.383,0.577,71.0,0.3172667376547318
RIGHT_HAND,0.396,0.6,0.296,71.0,0.3172667376547318
TONGUE,0.431,0.483,0.389,72.0,0.3172667376547318
avg/total,0.48,0.511,0.49,283.0,0.317
