,f1-score,precision,recall,support,kappa
FEET,0.784,0.86,0.721,68.0,0.7996204729766019
LEFT_HAND,0.866,0.917,0.821,67.0,0.7996204729766019
RIGHT_HAND,0.915,0.843,1.0,70.0,0.7996204729766019
TONGUE,0.823,0.795,0.853,68.0,0.7996204729766019
avg/total,0.847,0.854,0.849,273.0,0.8
