,f1-score,precision,recall,support,kappa
FEET,0.442,0.512,0.389,54.0,0.3306621313885445
LEFT_HAND,0.515,0.43,0.642,53.0,0.3306621313885445
RIGHT_HAND,0.558,0.592,0.527,55.0,0.3306621313885445
TONGUE,0.465,0.5,0.434,53.0,0.3306621313885445
avg/total,0.495,0.508,0.498,215.0,0.331
