,f1-score,precision,recall,support,kappa
FEET,0.514,0.818,0.375,72.0,0.5418486807618382
LEFT_HAND,0.617,0.582,0.657,70.0,0.5418486807618382
RIGHT_HAND,0.821,0.797,0.846,65.0,0.5418486807618382
TONGUE,0.646,0.558,0.768,69.0,0.5418486807618382
avg/total,0.65,0.689,0.662,276.0,0.542
