,f1-score,precision,recall,support,kappa
FEET,0.817,0.795,0.841,69.0,0.8080736543909348
LEFT_HAND,0.923,0.938,0.909,66.0,0.8080736543909348
RIGHT_HAND,0.851,0.822,0.882,68.0,0.8080736543909348
TONGUE,0.837,0.885,0.794,68.0,0.8080736543909348
avg/total,0.857,0.86,0.856,271.0,0.808
