,f1-score,precision,recall,support,kappa
FEET,0.842,0.771,0.928,69.0,0.8339832210799952
LEFT_HAND,0.924,0.905,0.944,71.0,0.8339832210799952
RIGHT_HAND,0.919,0.954,0.886,70.0,0.8339832210799952
TONGUE,0.815,0.898,0.746,71.0,0.8339832210799952
avg/total,0.875,0.882,0.876,281.0,0.834
