,f1-score,precision,recall,support,kappa
FEET,0.694,0.782,0.623,69.0,0.712363330529857
LEFT_HAND,0.866,0.887,0.846,65.0,0.712363330529857
RIGHT_HAND,0.703,0.638,0.785,65.0,0.712363330529857
TONGUE,0.879,0.866,0.892,65.0,0.712363330529857
avg/total,0.786,0.793,0.786,264.0,0.712
