,f1-score,precision,recall,support,kappa
FEET,0.253,0.733,0.153,72.0,0.5000783740007315
LEFT_HAND,0.676,0.697,0.657,70.0,0.5000783740007315
RIGHT_HAND,0.744,0.616,0.938,65.0,0.5000783740007315
TONGUE,0.655,0.562,0.783,69.0,0.5000783740007315
avg/total,0.582,0.652,0.633,276.0,0.5
