,f1-score,precision,recall,support,kappa
FEET,0.588,0.625,0.556,54.0,0.41100986216044755
LEFT_HAND,0.544,0.508,0.585,53.0,0.41100986216044755
RIGHT_HAND,0.542,0.558,0.527,55.0,0.41100986216044755
TONGUE,0.561,0.556,0.566,53.0,0.41100986216044755
avg/total,0.559,0.562,0.558,215.0,0.411
