,f1-score,precision,recall,support,kappa
FEET,0.809,0.821,0.797,69.0,0.7589055521260757
LEFT_HAND,0.833,0.833,0.833,66.0,0.7589055521260757
RIGHT_HAND,0.831,0.744,0.941,68.0,0.7589055521260757
TONGUE,0.8,0.923,0.706,68.0,0.7589055521260757
avg/total,0.818,0.83,0.819,271.0,0.759
