,f1-score,precision,recall,support,kappa
FEET,0.756,0.773,0.739,69.0,0.3593554937829785
LEFT_HAND,0.434,0.347,0.577,71.0,0.3593554937829785
RIGHT_HAND,0.387,0.479,0.324,71.0,0.3593554937829785
TONGUE,0.52,0.627,0.444,72.0,0.3593554937829785
avg/total,0.524,0.556,0.521,283.0,0.359
