,f1-score,precision,recall,support,kappa
FEET,0.726,0.911,0.603,68.0,0.7898496240601504
LEFT_HAND,0.877,0.905,0.851,67.0,0.7898496240601504
RIGHT_HAND,0.909,0.833,1.0,70.0,0.7898496240601504
TONGUE,0.832,0.765,0.912,68.0,0.7898496240601504
avg/total,0.836,0.854,0.841,273.0,0.79
