,f1-score,precision,recall,support,kappa
FEET,0.87,0.95,0.803,71.0,0.8654289927995142
LEFT_HAND,0.924,1.0,0.859,71.0,0.8654289927995142
RIGHT_HAND,0.986,0.986,0.986,69.0,0.8654289927995142
TONGUE,0.824,0.724,0.955,66.0,0.8654289927995142
avg/total,0.901,0.915,0.901,277.0,0.865
