,f1-score,precision,recall,support,kappa
FEET,0.79,0.783,0.797,59.0,0.631824473266007
LEFT_HAND,0.596,0.8,0.475,59.0,0.631824473266007
RIGHT_HAND,0.706,0.608,0.842,57.0,0.631824473266007
TONGUE,0.785,0.778,0.792,53.0,0.631824473266007
avg/total,0.719,0.742,0.726,228.0,0.632
